"lat_dec","lon_dec","hour_dec","boatspeed_mph","turbidity_ntu","sp_cond_ms_cm","pH","wtemp_c","B3","B4","ndti","ndti_flag","class"
33.74641,-98.3875,9.810563,3.904701,17.29163,614.1321,8.81,29.72187,847,534,-0.2266474,0,"water"
33.7465,-98.38747,9.811911,4.4,16.963,614.3754,8.81,29.73734,843,547,-0.2129496,0,"water"
33.74658,-98.38743,9.813077,4.9,16.72967,614.2032,8.81,29.76013,850,536,-0.2265512,0,"water"
33.74666,-98.38739,9.81418,5.514415,16.41689,614.4309,8.81,29.77056,872,548,-0.228169,0,"water"
33.74674,-98.38734,9.815172,5.8,16.55309,614.3,8.81,29.79579,864,544,-0.2272727,0,"water"
33.74682,-98.38729,9.816063,6.065457,16.27076,614.3,8.803106,29.78833,876,550,-0.2286115,0,"water"
33.74691,-98.38725,9.816999,6.6,16.36455,614.3,8.787653,29.80234,844,538,-0.2214182,0,"water"
33.74699,-98.38719,9.817733,6.6,16.6215,614.4811,8.8,29.79,838,517,-0.2369004,0,"water"
33.74707,-98.38715,9.818499,6.8,16.64305,614.4335,8.8,29.76801,850,524,-0.2372635,0,"water"
33.74715,-98.3871,9.819243,6.827581,16.48787,614.6092,8.8,29.78,850,524,-0.2372635,0,"water"
33.74723,-98.38705,9.819982,7.19368,16.64847,614.5053,8.8,29.78,838,530,-0.2251462,0,"water"
33.74731,-98.38701,9.820678,7.2,16.82942,614.5,8.8,29.80146,830,524,-0.225997,0,"water"
33.74739,-98.38697,9.821428,7.8,16.62759,614.4883,8.8,29.79,825,516,-0.2304251,0,"water"
33.74747,-98.38692,9.822134,8.036498,16.58142,614.3341,8.8,29.79,830,511,-0.2378822,0,"water"
33.74755,-98.38686,9.822773,8.2,16.85716,614.5494,8.780226,29.79,852,511,-0.2501834,0,"water"
33.74762,-98.3868,9.823459,8.254523,16.98971,614.2894,8.785457,29.81151,844,507,-0.2494449,0,"water"
33.7477,-98.38673,9.824137,8.2,17.14731,614.4,8.79,29.8009,836,519,-0.2339483,0,"water"
33.74777,-98.38667,9.824792,8.174659,17.32108,614.6084,8.79,29.8,836,519,-0.2339483,0,"water"
33.74785,-98.38661,9.825428,8.1,17.38677,614.5383,8.79,29.78537,834,508,-0.242921,0,"water"
33.74792,-98.38655,9.826166,8.119934,17.79929,614.5,8.79,29.78333,830,510,-0.238806,0,"water"
33.74798,-98.38648,9.826862,8.2,17.89545,614.5,8.79,29.78413,830,514,-0.235119,0,"water"
33.74806,-98.38641,9.82755,8.572393,18.04268,614.5,8.79,29.76757,827,520,-0.2279139,0,"water"
